DOI,SMILES,Materials-2,Materials-note,Electrolyte,Voltage window (V),Specific surface area (m2/g),Capacitance (F/g),Pore volume (cm3/g),Pore size (nm),Micropore volume (cm3/g),SSA of micropores (m2/g),Id/Ig ,N (at. %),O (at. %),B (at. %),S (at. %),F (at. %),P (at. %)
10.1039/c3cc44175j,N#CCC[N+]1=CN(CCCCCCCCC[N+]2=CN(CCC#N)C=C2)C=C1.O=S([N-]S(=O)(C(F)(F)F)=O)(C(F)(F)F)=O.O=S([N-]S(=O)(C(F)(F)F)=O)(C(F)(F)F)=O,,like CTF,koh,0.8,588,112,0.34,0.75,0.24,520,,5.7,5.4,0,0.8,2.3,
10.1039/c3cc44175j,N#CCC[N+]1=CN(CC2=CC=C(C[N+]3=CN(CCC#N)C=C3)C=C2)C=C1.O=S([N-]S(=O)(C(F)(F)F)=O)(C(F)(F)F)=O.O=S([N-]S(=O)(C(F)(F)F)=O)(C(F)(F)F)=O,,like CTF,koh,0.8,706,,0.33,1.2,0.32,686,,6.5,10.5,0,2.4,1.1,
10.5796/electrochemistry.81.804,C([C@@H]1[C@@H]2[C@@H]([C@H]([C@H](O1)O[C@@H]3[C@H](O[C@@H]([C@@H]([C@H]3O)O)O[C@@H]4[C@H](O[C@@H]([C@@H]([C@H]4O)O)O[C@@H]5[C@H](O[C@@H]([C@@H]([C@H]5O)O)O[C@@H]6[C@H](O[C@@H]([C@@H]([C@H]6O)O)O[C@@H]7[C@H](O[C@H](O2)[C@@H]([C@H]7O)O)CO)CO)CO)CO)CO)O)O)O,,cyclodextrin,teabf4,2,754,38,0.4,,0.147,,,0,0.9,0,,,
10.5796/electrochemistry.81.804,C([C@@H]1[C@@H]2[C@@H]([C@H]([C@H](O1)O[C@@H]3[C@H](O[C@@H]([C@@H]([C@H]3O)O)O[C@@H]4[C@H](O[C@@H]([C@@H]([C@H]4O)O)O[C@@H]5[C@H](O[C@@H]([C@@H]([C@H]5O)O)O[C@@H]6[C@H](O[C@@H]([C@@H]([C@H]6O)O)O[C@@H]7[C@H](O[C@H](O2)[C@@H]([C@H]7O)O)CO)CO)CO)CO)CO)O)O)O,,cyclodextrin,teabf4,2,364,20,0.195,,0.047,,,0,4.2,0,,,
10.1039/c4ta03490b,OC1=C(/N=N/C2=CC=C([N+]([O-])=O)C=C2)C=CC(O)=C1,Mg(OH)2 as template,,koh,1,1427.7,378.5,5.91,0.568,0.223,510.4,,3.73,4.07,0,,,
10.1039/c4ta03490b,OC1=C(/N=N/C2=CC=C([N+]([O-])=O)C=C2)C=CC(O)=C1,Mg(OH)2 as template,,koh,1,1036.6,263.4,4.76,0.563,0.12,268.8,,1.8,4.37,0,,,
10.1021/jp501742x,C=CC#N,,,koh,1,3034.8,189,,1.17,,,3.255,5.08,11.91,0,,,
10.1021/jp501742x,C=CC#N,,,koh,1,3384.3,219,,1.17,,,4.182,5.67,11.64,0,,,
10.1021/jp501742x,C=CC#N,,,koh,1,3124.4,270,,1.17,,,2.739,2.34,3.93,0,,,
10.1021/jp501742x,C=CC#N,,,koh,1,3336.7,247,,1.17,,,3.412,0.63,3.53,0,,,
10.1039/c4ta02167c,OC1=C(CC2=CC=CC=C2O)C=CC=C1,mix with different KOH amount,fenol-formaldehyde resin,koh,1,477,80,0.23,1.96,,412,1.01,,,,,,
10.1039/c4ta02167c,OC1=C(CC2=CC=CC=C2O)C=CC=C1,mix with different KOH amount,fenol-formaldehyde resin,koh,1,1292,,0.56,1.73,,1193,,,,,,,
10.1039/c4ta02167c,OC1=C(CC2=CC=CC=C2O)C=CC=C1,mix with different KOH amount,fenol-formaldehyde resin,koh,1,1734,220,0.82,1.87,,1511,,,,,,,
10.1039/c4ta02167c,OC1=C(CC2=CC=CC=C2O)C=CC=C1,mix with different KOH amount,fenol-formaldehyde resin,koh,1,2322,,1.24,2.14,,1933,,,,,,,
10.1039/c4ta02167c,OC1=C(CC2=CC=CC=C2O)C=CC=C1,mix with different KOH amount,fenol-formaldehyde resin,koh,1,2753,307,1.54,2.23,,2131,1.12,,,,,,
10.1039/c4ta02167c,OC1=C(CC2=CC=CC=C2O)C=CC=C1,mix with different KOH amount,fenol-formaldehyde resin,koh,1,613,,0.29,1.93,,503,,,,,,,
10.1039/c4ta02167c,OC1=C(CC2=CC=CC=C2O)C=CC=C1,mix with different KOH amount,fenol-formaldehyde resin,koh,1,2086,250,1.1,2.1,,1635,,,,,,,
10.1007/s10854-013-1621-4,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@H]([C@@H]([C@H]2O)O)O)CO)O)O)O)O,zeolite as template,600,koh,1,686.8,111,0.91,5.3,0.25,,,,,0,,,
10.1007/s10854-013-1621-4,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@H]([C@@H]([C@H]2O)O)O)CO)O)O)O)O,zeolite as template,700,koh,1,1076.9,175,1.46,5.4,0.41,,,,,,,,
